Matricula,ID_Reclamacao,Grau_de_Insatisfacao
115211093,1,1
115211093,7,3
115211093,13,5
115211093,19,5
115211093,25,2
115211093,31,1
115211093,37,4
115211093,43,3
115211093,49,4
115211093,55,5
115111901,2,4
115111901,8,1
115111901,14,2
115111901,20,2
115111901,26,4
115111901,32,3
115111901,38,5
115111901,44,4
115111901,50,2
115111901,56,3
115110295,3,1
115110295,9,1
115110295,15,2
115110295,21,2
115110295,27,2
115110295,33,2
115110295,39,2
115110295,51,4
115110295,57,2
115110295,45,1
115110951,4,2
115110951,10,5
115110951,16,1
115110951,22,2
115110951,28,5
115110951,34,3
115110951,40,5
115110951,46,2
115110951,52,2
115110951,58,5
115210534,5,2
115210534,11,5
115210534,17,1
115210534,23,2
115210534,29,1
115210534,35,5
115210534,41,4
115210534,47,1
115210534,53,5
115210534,59,1
115110593,6,1
115110593,12,2
115110593,18,4
115110593,24,3
115110593,30,4
115110593,36,1
115110593,42,1
115110593,48,2
115110593,54,4
115110593,60,3
115111577,1,1
115111577,7,2
115111577,13,5
115111577,19,4
115111577,25,1
115111577,31,1
115111577,37,3
115111577,43,2
115111577,49,2
115111577,55,3
116110219,5,1
116110219,11,4
116110219,17,2
116110219,23,2
116110219,29,1
116110219,35,4
116110219,41,4
116110219,47,2
116110219,53,5
116110219,59,2
116110409,6,3
116110409,12,3
116110409,18,4
116110409,24,3
116110409,30,4
116110409,36,2
116110409,42,2
116110409,48,1
116110409,54,3
116110409,60,4
115111135,1,2
115111135,7,1
115111135,13,5
115111135,19,5
115111135,25,1
115111135,31,1
115111135,37,3
115111135,43,1
115111135,49,4
115111135,55,4
115110057,3,4
115110057,9,3
115110057,15,1
115110057,21,2
115110057,27,1
115110057,33,4
115110057,39,2
115110057,45,4
115110057,51,3
115110057,57,4
115211593,4,2
115211593,10,
115211593,16,2
115211593,28,
115211593,34,
115211593,40,
115211593,46,2
115211593,52,
115211593,58,4
115211593,,
116110690,5,1
116110690,11,2
116110690,17,1
116110690,23,1
116110690,29,1
116110690,35,5
116110690,41,3
116110690,47,1
116110690,53,5
116110690,59,1
115210700,6,4
115210700,12,4
115210700,18,5
115210700,24,3
115210700,30,4
115210700,36,1
115210700,42,2
115210700,48,3
115210700,54,5
115210700,60,4
116110648,1,1
116110648,7,1
116110648,13,5
116110648,19,5
116110648,25,1
116110648,31,1
116110648,37,4
116110648,43,2
116110648,49,3
116110648,55,5
116110537,2,4
116110537,8,2
116110537,14,3
116110537,20,2
116110537,26,4
116110537,32,2
116110537,38,5
116110537,44,3
116110537,50,3
116110537,56,
116211245,3,1
116211245,9,1
116211245,15,4
116211245,21,3
116211245,27,3
116211245,33,1
116211245,39,2
116211245,51,4
116211245,57,2
115110721,4,1
115110721,10,4
115110721,16,1
115110721,28,4
115110721,34,2
115110721,40,5
115110721,46,3
115110721,52,3
115110721,58,4
115110721,22,5
115110753,5,1
115110753,11,4
115110753,17,2
115110753,23,2
115110753,29,1
115110753,35,5
115110753,41,4
115110753,47,2
115110753,53,5
115110753,59,2
116110206,6,3
116110206,12,4
116110206,18,5
116110206,24,3
116110206,30,4
116110206,36,2
116110206,42,2
116110206,48,1
116110206,54,4
116110206,60,3
115211452,1,3
115211452,7,2
115211452,13,5
115211452,19,5
115211452,25,3
115211452,31,1
115211452,37,4
115211452,43,3
115211452,49,2
115211452,55,5
117110503,2,4
117110503,8,2
117110503,14,3
117110503,20,1
117110503,26,5
117110503,32,2
117110503,38,5
117110503,44,4
117110503,50,3
117110503,56,3
115210937,3,2
115210937,9,3
115210937,15,4
115210937,27,3
115210937,33,2
115210937,39,4
115210937,45,3
115210937,51,4
115210937,57,3
115210937,21,3
116110175,5,2
116110175,11,3
116110175,17,2
116110175,23,4
116110175,29,1
116110175,35,5
116110175,41,3
116110175,47,2
116110175,53,5
116110175,59,1
115211312,6,3
115211312,12,3
115211312,18,4
115211312,24,2
115211312,30,3
115211312,36,1
115211312,42,1
115211312,48,1
115211312,54,4
115211312,60,3
116110151,1,1
116110151,7,1
116110151,13,4
116110151,19,4
116110151,25,1
116110151,31,2
116110151,37,3
116110151,43,3
116110151,49,3
116110151,55,3
116110112,2,4
116110112,8,2
116110112,14,2
116110112,20,2
116110112,26,5
116110112,32,2
116110112,38,5
116110112,50,3
116110112,56,3
116110112,,
116210531,21,4
116210531,57,3
116210531,51,4
116210531,45,3
116210531,39,3
116210531,33,2
116210531,27,5
116210531,15,4
116210531,3,2
116210531,9,2
116110612,4,1
116110612,10,4
116110612,16,2
116110612,22,4
116110612,28,4
116110612,34,2
116110612,40,5
116110612,46,2
116110612,52,2
116110612,58,4
114210211,5,1
114210211,11,4
114210211,17,3
114210211,23,2
114210211,29,1
114210211,35,5
114210211,41,4
114210211,47,1
114210211,53,5
114210211,59,1
115110652,6,3
115110652,12,3
115110652,18,4
115110652,24,4
115110652,30,5
115110652,36,1
115110652,42,1
115110652,48,1
115110652,54,3
115110652,60,2
115210597,1,1
115210597,7,2
115210597,13,5
115210597,19,5
115210597,25,2
115210597,31,1
115210597,37,3
115210597,43,4
115210597,49,3
115210597,55,5
117210910,2,3
117210910,8,1
117210910,14,1
117210910,20,2
117210910,26,4
117210910,32,2
117210910,38,5
117210910,44,3
117210910,50,2
117210910,56,4
116110745,3,1
116110745,9,2
116110745,15,3
116110745,27,2
116110745,33,1
116110745,39,2
116110745,45,2
116110745,51,1
116110745,57,2
116110745,,
116110057,4,1
116110057,10,5
116110057,16,1
116110057,22,3
116110057,28,3
116110057,34,5
116110057,40,2
116110057,46,2
116110057,52,2
116110057,58,4
115210709,2,4
115210709,8,2
115210709,14,2
115210709,20,1
115210709,26,5
115210709,32,3
115210709,38,4
115210709,44,3
115210709,50,1
115210709,56,3
116110120,4,1
116110120,10,2
116110120,16,1
116110120,22,3
116110120,28,3
116110120,34,1
116110120,40,3
116110120,46,2
116110120,52,2
116110120,58,4
115210709,2,4
115210709,8,2
115210709,14,2
115210709,20,1
115210709,26,5
115210709,32,3
115210709,38,4
115210709,44,3
115210709,50,1
115210709,56,3