Matricula,ID da reclamação ,Grau de insatisfação
115210195,8,3
115210195,16,2
115210195,24,3
115210195,32,4
115210195,40,4
115210195,48,5
115210195,56,2
115210091,4,1
115210091,12,2
115210091,20,4
115210091,28,1
115210091,36,1
115210091,44,2
115210091,52,2
115210091,60,5
117210350,1,5
117210350,9,3
117210350,17,3
117210350,25,2
117210350,33,1
117210350,41,1
117210350,49,1
117210350,57,1
117110233,7,4
117110233,15,2
117110233,23,1
117110233,31,1
117110233,39,1
117110233,47,3
177110233,55,3
116211477,12,1
116211477,20,4
116211477,28,2
116211477,36,1
116211477,44,1
116211477,52,1
116211477,60,4
115210857,7,2
115210857,15,2
115210857,23,3
115210857,31,1
115210857,39,3
115210857,47,5
115210857,55,4
116110322,1,5
116110322,9,3
116110322,17,1
116110322,25,4
116110322,33,2
116110322,41,1
116110322,49,2
116110322,57,2
116110076,2,1
116110076,10,5
116110076,18,4
116110076,26,2
116110076,34,1
116110076,42,3
116110076,50,1
116110207,6,3
116110207,14,4
116110207,22,4
116110207,30,4
116110207,38,1
116110207,46,1
116110207,54,1
117110810,3,1
117110810,11,3
117110810,19,2
117110810,27,4
117110810,35,3
117110810,43,4
117110810,51,5
117110810,59,1
116110899,5,4
116110899,13,3
116110899,21,5
116110899,29,1
116110899,37,4
116110899,45,1
116110899,53,3
116110761,2,1
116110761,10,4
116110761,18,3
116110761,26,2
116110761,34,1
116110761,42,2
116110761,50,1
116110761,58,1
115211049,4,1
115211049,12,2
115211049,20,5
115211049,28,1
115211049,36,1
115211049,44,2
115211049,52,1
115211049,60,5
117211057,3,1
117211057,11,4
117211057,19,1
117211057,27,4
117211057,35,1
117211057,43,3
117211057,51,3
117211057,59,1
116210009,5,3
116210009,13,3
116210009,21,4
116210009,29,1
116210009,37,2
116210009,45,1
116210009,53,2
115110120,1,5
115110120,9,3
115110120,17,3
115110120,25,2
115110120,33,2
115110120,41,1
115110120,49,2
115110120,57,2
116110911,8,3
116110911,16,2
116110911,24,5
116110911,32,4
116110911,40,5
116110911,48,5
116110911,56,3
116210580,8,2
116210580,16,1
116210580,24,5
116210580,32,3
116210580,40,5
116210580,48,5
116210580,56,1
115210734,2,1
115210734,10,4
115210734,18,3
115210734,26,3
115210734,34,2
115210734,42,3
115210734,50,2
115210734,58,3
115211176,7,5
115211176,15,3
115211176,23,1
115211176,31,1
115211176,39,1
115211176,47,4
115211176,55,3
115111271,14,4
115111271,22,3
115111271,30,3
115111271,38,1
115111271,46,2
115111271,54,2
115111271,6,2
116210568,6,1
116210568,14,3
116210568,22,4
116210568,30,3
116210568,38,2
116210568,46,1
116210568,54,3
117110918,8,3
117110918,16,2
117110918,24,5
117110918,32,2
117110918,40,4
117110918,48,4
117110918,56,3
115111897,2,1
115111897,10,5
115111897,18,3
115111897,26,2
115111897,34,2
115111897,42,3
115111897,50,2
115111897,58,2
114110411,1,4
114110411,9,4
114110411,17,3
114110411,25,3
114110411,33,2
114110411,41,4
114110411,49,3
114110411,57,4
116210088,5,3
116210088,13,3
116210088,21,4
116210088,29,1
116210088,37,2
116210088,45,1
116210088,53,1
116110912,8,2
116110912,16,1
116110912,24,5
116110912,32,4
116110912,40,3
116110912,48,3
116110912,56,2
116210830,4,1
116210830,12,4
116210830,20,5
116210830,28,3
116210830,36,2
116210830,44,4
116210830,52,3
116110844,5,3
116110844,13,4
116110844,21,4
116110844,29,1
116110844,37,3
116110844,45,4
116110844,53,3
115210629,7,3
115210629,15,4
115210629,23,5
115210629,31,2
115210629,39,5
115210629,47,5
115210629,55,3
115210098,3,2
115210098,11,3
115210098,19,2
115210098,27,3
115210098,35,4
115210098,43,4
115210098,51,6
115210098,59,1
115210869,3,2
115210869,11,3
115210869,19,2
115210869,27,4
115210869,35,3
115210869,43,3
115210869,51,4
115210869,59,1
115210271,3,2
115210271,11,4
115210271,19,2
115210271,27,5
115210271,35,3
115210271,43,3
115210271,51,3
115210271,59,1
116110910,1,5
116110910,9,3
116110910,17,2
116110910,25,2
116110910,33,2
116110910,41,2
116110910,49,1
116110910,57,1
116110550,6,2
116110550,14,3
116110550,22,4
116110550,30,2
116110550,38,1
116110550,46,2
116110550,54,2
116110520,7,2
116110520,15,3
116110520,23,2
116110520,31,1
116110520,39,2
116110520,47,4
116110520,55,3
115210859,16,1
115210859,24,4
115210859,48,3
115210859,56,1
113210108,15,1
113210108,23,4
113210108,31,3
113210108,39,4
113210108,47,5
113210108,55,3
113210108,7,2
117210715,1,5
117210715,9,3
117210715,17,4
117210715,25,4
117210715,33,2
117210715,41,3
114110419,11,5
114110419,19,1
114110419,27,4
114110419,3,2
114110419,35,2
114110419,43,3
114110419,51,3
117210715,49,2
117210715,57,2
114110419,59,1
114210529,10,4
114210529,18,5
114210529,26,3
114210529,34,3
114210529,42,2
114210529,50,1
114210529,58,1
116210014,4,1
116210014,12,3
116210014,20,4
116210014,28,3
116210014,36,2
116210014,44,4
116210014,52,3
115110304,2,1
115110304,10,5
115110304,18,4
115110304,26,2
115110304,34,2
115110304,42,3
115110304,50,2
115110304,58,2